caso_id_canonico,parser_es_revision_fondo,parser_disposicion,parser_reenvia,parser_parte_ganadora,parser_via_recurso,parser_multi_recurso,_ctx_outcome_m19,_ctx_is_merit
343_p412,no,no_fondo,no,no_aplica,recurso_extraordinario,si,inadmisible_acordada_4,0
343_p580,no,no_fondo,no,no_aplica,,no,otro,0
343_p646,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,deja_sin_efecto,1
343_p1233,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
343_p1319,no,no_fondo,no,no_aplica,recurso_extraordinario,no,competencia,0
343_p1620,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
343_p1688,si,revoca,si,recurrente_gana,recurso_extraordinario,no,revoca,1
343_p1944,si,no_revision_demanda,no,no_aplica,,no,rechaza,1
344_p344,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,confirma,1
344_p701,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
344_p1283,si,revoca,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
344_p1438,no,no_revision_competencia,no,no_aplica,,no,competencia,0
344_p1835,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
344_p2172,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
344_p2393,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,si,hace_lugar,1
344_p2669,si,revoca,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
344_p2868,si,revoca,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
344_p2955,no,no_fondo,no,no_aplica,recurso_extraordinario,si,desestima,0
344_p3394,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,desestima,1
344_p3469,no,no_revision_competencia,no,no_aplica,,no,competencia,0
345_p12,no,no_fondo,no,no_aplica,recurso_extraordinario,no,rechaza,0
345_p154,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
345_p241,si,nulidad,no,recurrente_gana,recurso_extraordinario,no,nulidad,1
345_p523,si,revoca,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
345_p583,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
345_p670,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
345_p1238,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
345_p1421,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
346_p44,no,no_fondo,no,no_aplica,,no,desestima,0
346_p439,no,nulidad_concesion,si,no_aplica,recurso_extraordinario,si,nulidad_concesion,0
346_p646,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
346_p675,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,procedente,1
346_p1241,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,procedente,1
