caso_id,tomo,tipo_cambio,old_outcome,new_outcome,old_vp,new_vp,old_n,new_n,old_pet,new_pet,new_variante,new_firma
329_p4944,329,mejora_gano_firma,otro,otro,sin_firma,mixed,0,7,"Por lo expuesto, se justiprecia el valor vida en $ 240.000, ","Por ello, se decide: I.– Hacer lugar a la demanda seguida po",por_ello,ENRIQUE SANTIAGO PETRACCHI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO
329_p5078,329,cambio_outcome,otro,procedente,segun_su_voto,segun_su_voto,5,5,"En consecuencia, corresponde hacer lugar al agravio del Esta","Por ello, se declara procedente el recurso extraordinario y ",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
329_p5123,329,mejora_gano_firma,otro,hace_lugar,sin_firma,disidencia,0,7,"Por ello, si bien el desapoderamiento dispuesto por el art. ","Por ello, y lo concordemente dictaminado por el señor Procur",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (en disidencia parcial)
329_p5310,329,mejora_gano_firma,otro,hace_lugar,sin_firma,disidencia,0,7,"por ello, respuesta a los planteos que formuló la parte en d","Por ello, y habiendo dictaminado el señor Procurador General",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p5493,329,mejora_mas_jueces,desestima,otro,unanime,unanime,5,7,"Por ello, se desestima la presentación efectuada. Notifíques","Por ello, concordemente con lo dictaminado por el señor Proc",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p5543,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,2,"por ello, que la demanda debe ser enderezada contra el Estad","Por ello y oído el señor Procurador Fiscal subrogante, se re",por_ello,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT — JUAN CARLOS
329_p5594,329,REGRESION_menos_jueces,hace_lugar,desestima,disidencia,unanime,6,1,"Por ello, se hace lugar a la queja, se declara procedente el","Por ello, oída la señora Procuradora Fiscal, se desestima la",por_ello,CARMEN M. ARGIBAY.
329_p5628,329,cambio_outcome,otro,hace_lugar,unanime,unanime,6,6,"En consecuencia, dado que la condena se ha basado fundamenta","Por ello, oído el señor Procurador Fiscal, se hace lugar a l",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p5655,329,REGRESION_menos_jueces,desestima,desestima,segun_su_voto,unanime,7,1,"Por ello, se desestima la queja. Intímese a la parte recurre","Por ello, se desestima la queja. Intímese a la parte recurre",por_ello,CARMEN M. ARGIBAY.
329_p5705,329,mejora_mas_jueces,competencia,competencia,unanime,unanime,5,6,De conformidad con lo dictaminado por la señora Procuradora ,Por los fundamentos y conclusiones del dictamen del señor Pr,por_los_fund,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
