caso,tomo,firma_nueva,lfr_viejo,lfr_nuevo,pista_nueva,tipo
330_p2793,330,JULIO S. NAZARENO — EDUARDO MOLINÉ O’CONNOR — CARLOS S. FAYT — AUGUSTO CÉSAR BEL,56279,56323,caratula_siguiente,MEJORA
330_p2964,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CA,3497,3576,caratula_siguiente,MEJORA
330_p3069,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,7556,7642,caratula_siguiente,MEJORA
330_p3141,330,RICARDO LUIS LORENZETTI — JUAN CARLOS MAQUEDA.,10441,10441,caratula_siguiente,MEJORA
330_p3458,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE SANTIAGO PETRACC,23229,23285,caratula_siguiente,MEJORA
330_p3463,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,23533,23702,caratula_siguiente,MEJORA
330_p3685,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según su,31893,33065,caratula_siguiente,MEJORA
330_p3714,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA — E.,33320,33357,caratula_siguiente,MEJORA
330_p3758,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,34897,35060,caratula_siguiente,MEJORA
330_p3801,330,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT.,37853,37853,caratula_siguiente,MEJORA
330_p3848,330,RICARDO LUIS LORENZETTI (en disidencia) — ELENA I. HIGHTON DE NOLASCO — CARLOS S,38441,38472,sumario_siguiente,MEJORA
330_p4040,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,45911,46096,caratula_siguiente,MEJORA
330_p4429,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,4490,4621,sumario_siguiente,MEJORA
330_p4483,330,RICARDO LUIS LORENZETTI (en disidencia) — ELENA I. HIGHTON DE NOLASCO (en diside,6524,6592,caratula_siguiente,MEJORA
330_p4687,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,14254,14293,caratula_siguiente,MEJORA
330_p4953,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,24433,24516,caratula_siguiente,MEJORA
330_p4960,330,RICARDO LUIS LORENZETTI (en disidencia) — ELENA I. HIGHTON DE NOLASCO — CARLOS S,24520,24911,caratula_siguiente,MEJORA
330_p4970,330,RICARDO LUIS LORENZETTI (según su voto) — ELENA I. HIGHTON DE NOLASCO (en diside,25259,25417,caratula_siguiente,MEJORA
330_p5197,330,RICARDO LUIS LORENZETTI (en disidencia) — ELENA I. HIGHTON DE NOLASCO — ENRIQUE ,33913,33966,caratula_siguiente,MEJORA
330_p5257,330,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE,36420,36490,caratula_siguiente,MEJORA
331_p96,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Enrique Santiago Petracc,3346,3437,caratula_siguiente,MEJORA
331_p303,331,Ricardo Luis Lorenzetti (en disidencia) — Elena I. Highton de Nolasco — Carlos S,11305,11516,caratula_siguiente,MEJORA
331_p477,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt (según su,18106,18158,caratula_siguiente,MEJORA
331_p583,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,21959,22029,caratula_siguiente,MEJORA
331_p776,331,Ricardo Luis Lorenzetti (en disidencia) — Elena I. Highton de Nolasco — Carlos S,29406,29454,caratula_siguiente,MEJORA
331_p1186,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco (en disidencia) — Enrique ,7032,7392,caratula_siguiente,MEJORA
331_p1302,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Enrique Santiago Petracc,11681,11754,caratula_siguiente,MEJORA
331_p1403,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Enrique Santiago Petracc,15481,15575,caratula_siguiente,MEJORA
331_p1581,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,22041,22144,caratula_siguiente,MEJORA
331_p1605,331,Elena I. Highton de Nolasco — Enrique Santiago Petracchi — Juan Carlos Maqueda —,23103,23213,caratula_siguiente,MEJORA
331_p1987,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,680,733,caratula_siguiente,MEJORA
331_p2309,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,12670,12825,caratula_siguiente,MEJORA
331_p2545,331,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Enrique Santiago Petracc,21761,21834,caratula_siguiente,MEJORA
332_p5,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco.,323,323,caratula_siguiente,MEJORA
332_p89,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,3606,3639,caratula_siguiente,MEJORA
332_p102,332,Ricardo Luis Lorenzetti — Enrique Santiago Petracchi — Juan Carlos Maqueda — E. ,3875,3950,caratula_siguiente,MEJORA
332_p531,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — E.,21208,21261,caratula_siguiente,MEJORA
332_p607,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,23628,23739,caratula_siguiente,MEJORA
332_p1512,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,22938,23024,caratula_siguiente,MEJORA
332_p1769,332,Ricardo Luis Lorenzetti (en disidencia parcial) — Elena I. Highton de Nolasco — ,33767,34999,caratula_siguiente,MEJORA
332_p2136,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,4181,4231,caratula_siguiente,MEJORA
332_p2237,332,Elena I. Highton de Nolasco.,8547,8547,caratula_siguiente,MEJORA
332_p2265,332,Ricardo Luis Lorenzetti (en disidencia parcial) — Elena I. Highton de Nolasco — ,9251,9716,caratula_siguiente,MEJORA
332_p2559,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco (según su voto) — Carlos S,21254,21810,caratula_siguiente,MEJORA
332_p2659,332,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Enrique Santiago Petracc,25024,25065,caratula_siguiente,MEJORA
332_p2828,332,Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique Santiago Petracchi — Juan,31204,31405,caratula_siguiente,MEJORA
333_p24,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,863,1018,caratula_siguiente,MEJORA
333_p39,333,Ricardo Luis Lorenzetti (en disidencia parcial) — Elena I. Highton de Nolasco — ,1870,2185,caratula_siguiente,MEJORA
333_p68,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,2524,2593,sumario_siguiente,MEJORA
333_p78,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — E.,2931,3012,caratula_siguiente,MEJORA
333_p604,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,24195,24352,caratula_siguiente,MEJORA
333_p777,333,Ricardo Luis Lorenzetti (según su voto) — Elena I. Highton de Nolasco — Carlos S,607,670,caratula_siguiente,MEJORA
333_p1179,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Carlos S. Fayt — Enrique,16348,16393,caratula_siguiente,MEJORA
333_p1244,333,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ca,18516,18615,caratula_siguiente,MEJORA
