historia,hoja,filas,columnas
Distribución de los Firmantes en los Fallos,Hoja 67 (2),6,Tipovotodescripcion-value | Tipovotodescripcion-alias | REC(casos con votos 2025.sav)-value | REC(casos con votos 2025.sav)-alias
Tipos de voto según Juez,Tipo de voto por caso,3,Tipovotodescripcion (grupo)-value | Tipovotodescripcion (grupo)-alias | REC(casos con fallos 2025.sav)-alias
Tipos de voto según Juez,Tipo de voto por Juez,121,Firmantes (casos con fallos 2025.sav) (grupo)-value | Firmantes (casos con fallos 2025.sav) (grupo)-alias | REC(casos con votos 2025.sav)-alias | Nombrejuez-value | Nombrejuez-alias | Tipovotodescripcion-value | Tipovotodescripcion-alias
Distribución de los votos por conformación y materia,Hoja 66 (2),83,DESC MATERIA -value | DESC MATERIA -alias | Firmantes (casos con fallos 2025.sav) (grupo)-value | Firmantes (casos con fallos 2025.sav) (grupo)-alias | REC(casos con votos 2025.sav)-alias | Tipovotodescripcion-value | Tipovotodescripcion-alias
Cuestiones federales,casos cuest fed (2),9,Cuestiónfederal (grupo)-value | Cuestiónfederal (grupo)-alias | TIPO DE CASO-value | TIPO DE CASO-alias | REC(casos con fallos 2025.sav)-alias
Cuestiones federales,casos cuest fed (3),28,Cuestiónfederal (grupo)-value | Cuestiónfederal (grupo)-alias | REC(casos con fallos 2025.sav)-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-value | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias
Cuestiones  Federales por Oficina de Origen y remisión,casos cuest fed (5),15,Remisión-value | Remisión-alias | REC(casos con fallos 2025.sav)-alias | Cuestiónfederal-value | Cuestiónfederal-alias | Remisión1-value | Remisión1-alias
Cuestiones  Federales por Oficina de Origen y remisión,casos cuest fed (6),36,Trib Sup de la Causa-value | Trib Sup de la Causa-alias | REC(casos con fallos 2025.sav)-value | REC(casos con fallos 2025.sav)-alias
Inconstitucionalidades,incosnt y cuestion fed y prece,8,DESC TIPO RECURSO OKfromFALLOS (grupo) 3-value | DESC TIPO RECURSO OKfromFALLOS (grupo) 3-alias | Remisión-value | Remisión-alias | REC(casos con fallos 2025.sav)-alias | Tipoderemisión-value | Tipoderemisión-alias | ATRIB(CLAVE (casos con fallos 2025.sav))-alias
Inconstitucionalidades,incosnt juri y norma,35,Tipodenorma (grupo)-value | Tipodenorma (grupo)-alias | REC(casos con fallos 2025.sav)-alias | Jurisdiccionnorma-value | Jurisdiccionnorma-alias
Inconstitucionalidades,incosnt y cuestion fed y prece (2),2,REC(casos con fallos 2025.sav)-alias | DESC MATERIA SEC OK (casos con fallos 2025.sav)-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:1]-alias | REC(casos con fallos 2025.sav)-[federated.0lt5vai1v3ahqd1boe0j51i0mv1n].[pcto:cnt:casos con fallos 2025.sav_8EB8055E304D4E84A07D64CEFADB97EA:qk:2]-alias
