caso_id_canonico,tomo,archivo,linea_inicio,linea_fin_catalogo,linea_fin_real,delta_lineas,status_fin,pista
329_p710,329,LibroVol329.1.md,26818,27032,27033,1,fin_extendido_pag_compartida,caratula_siguiente
329_p716,329,LibroVol329.1.md,27033,27058,27077,19,fin_extendido_pag_compartida,caratula_siguiente
329_p717,329,LibroVol329.1.md,27059,27290,27335,45,fin_extendido_pag_compartida,caratula_siguiente
329_p723,329,LibroVol329.1.md,27291,27546,27519,-27,fin_dentro_bloque,sumario_siguiente
329_p730,329,LibroVol329.1.md,27547,27693,27710,17,fin_extendido_pag_compartida,caratula_siguiente
329_p734,329,LibroVol329.1.md,27694,27943,27944,1,fin_extendido_pag_compartida,caratula_siguiente
329_p741,329,LibroVol329.1.md,27944,28010,28022,12,fin_extendido_pag_compartida,caratula_siguiente
329_p743,329,LibroVol329.1.md,28011,28348,28349,1,fin_extendido_pag_compartida,caratula_siguiente
329_p752,329,LibroVol329.1.md,28349,28374,28367,-7,fin_dentro_bloque,sumario_siguiente
329_p753,329,LibroVol329.1.md,28375,28448,28466,18,fin_extendido_pag_compartida,caratula_siguiente
329_p755,329,LibroVol329.1.md,28449,28595,28604,9,fin_extendido_pag_compartida,caratula_siguiente
329_p759,329,LibroVol329.1.md,28596,29123,29144,21,fin_extendido_pag_compartida,caratula_siguiente
329_p772,329,LibroVol329.1.md,29124,29273,29322,49,fin_extendido_pag_compartida,caratula_siguiente
329_p776,329,LibroVol329.1.md,29274,29420,29421,1,fin_extendido_pag_compartida,caratula_siguiente
329_p780,329,LibroVol329.1.md,29421,29526,29527,1,fin_extendido_pag_compartida,caratula_siguiente
329_p783,329,LibroVol329.1.md,29527,29763,29775,12,fin_extendido_pag_compartida,sumario_siguiente
329_p789,329,LibroVol329.1.md,29764,29872,29892,20,fin_extendido_pag_compartida,sumario_siguiente
329_p792,329,LibroVol329.1.md,29873,30305,30295,-10,fin_dentro_bloque,caratula_siguiente
329_p803,329,LibroVol329.1.md,30306,30380,30405,25,fin_extendido_pag_compartida,caratula_siguiente
329_p805,329,LibroVol329.1.md,30381,30524,30516,-8,fin_dentro_bloque,caratula_siguiente
329_p809,329,LibroVol329.1.md,30525,31491,31495,4,fin_extendido_pag_compartida,caratula_siguiente
329_p833,329,LibroVol329.1.md,31492,31674,31656,-18,fin_dentro_bloque,caratula_siguiente
329_p838,329,LibroVol329.1.md,31675,31751,31764,13,fin_extendido_pag_compartida,caratula_siguiente
329_p840,329,LibroVol329.1.md,31752,31929,31869,-60,fin_dentro_bloque,sumario_siguiente
329_p845,329,LibroVol329.1.md,31930,31998,32017,19,fin_extendido_pag_compartida,caratula_siguiente
329_p847,329,LibroVol329.1.md,31999,32146,32166,20,fin_extendido_pag_compartida,caratula_siguiente
329_p851,329,LibroVol329.1.md,32147,32379,32389,10,fin_extendido_pag_compartida,sumario_siguiente
329_p857,329,LibroVol329.1.md,32380,32484,32485,1,fin_extendido_pag_compartida,caratula_siguiente
329_p860,329,LibroVol329.1.md,32485,32587,32559,-28,fin_dentro_bloque,caratula_siguiente
329_p863,329,LibroVol329.1.md,32588,32659,32680,21,fin_extendido_pag_compartida,caratula_siguiente
329_p865,329,LibroVol329.1.md,32660,32763,32787,24,fin_extendido_pag_compartida,caratula_siguiente
329_p868,329,LibroVol329.1.md,32764,32907,32896,-11,fin_dentro_bloque,sumario_siguiente
329_p872,329,LibroVol329.1.md,32908,33195,33204,9,fin_extendido_pag_compartida,caratula_siguiente
329_p879,329,LibroVol329.1.md,33196,33546,33558,12,fin_extendido_pag_compartida,caratula_siguiente
329_p888,329,LibroVol329.1.md,33547,33690,33699,9,fin_extendido_pag_compartida,sumario_siguiente
329_p892,329,LibroVol329.1.md,33691,33950,33954,4,fin_extendido_pag_compartida,caratula_siguiente
329_p899,329,LibroVol329.1.md,33951,34131,34114,-17,fin_dentro_bloque,caratula_siguiente
329_p904,329,LibroVol329.1.md,34132,34202,34216,14,fin_extendido_pag_compartida,caratula_siguiente
329_p906,329,LibroVol329.1.md,34203,34310,34331,21,fin_extendido_pag_compartida,caratula_siguiente
