caso_id_canonico,marco,origen_b,doble_cod,materia_capa,materia_fuente,parser_materia
334_p44,A,,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
334_p474,B,materia=constitucional,0,capa2,objeto(1),constitucional
334_p490,A,,0,pendiente_capa2,sin_ancla,
334_p941,A,,0,pendiente_capa2,sin_ancla,
337_p1024,B,materia=consumo,0,capa2,kw+norma:24240(2),consumo
337_p1095,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
337_p1142,A,,0,pendiente_capa2,conflicto_capa2:cambiario/laboral,
337_p1234,A,,1,capa1,regla:\ben lo comercial\b,civil_comercial
337_p1581,A,,0,capa1,regla:seguridad social,previsional
337_p222,B,materia=salud,0,capa2,coocur:salud_amparo,salud
337_p234,B,materia=constitucional,0,capa2,objeto(1),constitucional
337_p329,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
337_p373,A,,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
337_p45,B,materia=salud,0,capa2,coocur:salud_amparo,salud
337_p481,A,,0,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d),tributario
337_p505,A,,0,capa2,norma:24660+objeto(2),penal
337_p654,B,materia=salud,0,capa2,coocur:salud_amparo,salud
337_p735,A,,0,pendiente_capa2,sin_ancla,
337_p771,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
338_p102,A,,0,capa1,regla:civil y comercial federal,civil_comercial
338_p1252,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
338_p148,A,,0,capa1,regla:seguridad social,previsional
338_p1517,B,materia=lesa_humanidad,0,capa2,kw(1),lesa_humanidad
338_p155,A,,0,pendiente_capa2,sin_ancla,
338_p249,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
338_p280,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
338_p40,A,,0,capa2,kw(1),consumo
338_p419,A,,0,pendiente_capa2,sin_ancla,
338_p463,B,materia=ambiental,0,capa2,kw+norma:24051(2),ambiental
338_p539,B,materia=constitucional,0,capa2,objeto(1),constitucional
338_p628,B,materia=electoral,0,capa1,regla:electoral,electoral
338_p868,B,materia=constitucional,1,capa2,objeto(1),constitucional
339_p1048,A,,0,pendiente_capa2,sin_ancla,
339_p1077,B,materia=consumo,0,capa2,kw(1),consumo
339_p1171,A,,0,pendiente_capa2,sin_ancla,
339_p1530,A,,0,pendiente_capa2,sin_ancla,
339_p155,A,,0,capa2,norma:23551(1),laboral
339_p1567,A,,0,capa1,regla:\bdel trabajo\b,laboral
339_p1621,A,,1,capa2,objeto+parte(2),laboral
339_p1760,B,materia=salud,1,capa2,coocur:salud_amparo,salud
339_p183,A,,0,pendiente_capa2,sin_ancla,
339_p1831,B,materia=salud,0,capa2,coocur:salud_amparo,salud
339_p1834,A,,0,capa2,objeto(1),civil_comercial
339_p274,A,,0,capa2,kw+norma:20744(2),laboral
339_p434,A,,0,capa2,norma:11683+norma:20628+parte(3),tributario
339_p490,A,,0,capa2,objeto(1),civil_comercial
339_p506,A,,0,originaria,originaria,
339_p597,A,,0,capa2,parte(1),tributario
339_p602,B,materia=ambiental,0,capa2,norma:24051(1),ambiental
339_p704,B,materia=consumo,0,capa2,kw+norma:24240(2),consumo
339_p824,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
339_p846,B,materia=tributario,0,capa2,parte(1),tributario
340_p1025,B,materia=constitucional,0,capa2,objeto(1),constitucional
340_p1383,B,materia=electoral,1,capa1,regla:electoral,electoral
340_p1395,A,,1,pendiente_capa2,sin_ancla,
340_p1398,A,,0,capa1,regla:\bdel trabajo\b,laboral
340_p1441,A,,0,capa1,regla:\bdel trabajo\b,laboral
