caso_id,tipo,vp_base,vp_new,lfr_base,lfr_new,n_jueces_new,firma_new
344_p980,lfr_cambio,segun_su_voto,segun_su_voto,38217,38197,4,Carlos Fernando Rosenkrantz – Elena I. Highton de Nolasco – Juan Carlos Maqueda 
345_p101,cambio_vp,,,3884,3884,0,
345_p1010,cambio_vp,,,5208,5208,0,
345_p1011,lfr_cambio,disidencia,disidencia,5355,5341,2,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)—
345_p1034,lfr_cambio,unanime,unanime,6154,6183,3,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda.
345_p1037,lfr_cambio,disidencia,disidencia,6350,6368,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda (en disidenc
345_p1042,lfr_cambio,unanime,unanime,6420,6342,1,Juan Carlos Maqueda.
345_p1079,lfr_cambio,unanime,unanime,7931,7923,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1083,cambio_vp,,,7950,7950,0,
345_p1084,cambio_vp,,,7972,7972,0,
345_p1085,cambio_vp,,,8013,8013,0,
345_p1086,lfr_cambio,segun_su_voto,segun_su_voto,8506,8526,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
345_p1098,lfr_cambio,unanime,unanime,8559,8497,1,Carlos Fernando Rosenkrantz.
345_p1100,cambio_vp,,,8576,8576,0,
345_p1101,lfr_cambio,segun_su_voto,segun_su_voto,8984,9001,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
345_p1111,lfr_cambio,unanime,unanime,9047,9059,3,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda.
345_p1113,lfr_cambio,unanime,unanime,9090,9044,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1114,lfr_cambio,disidencia,disidencia,9419,9275,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
345_p1123,cambio_vp,,,9472,9472,0,
345_p1125,lfr_cambio,unanime,unanime,9559,9553,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1143,lfr_cambio,disidencia,disidencia,10405,10387,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
345_p116,lfr_cambio,unanime,unanime,4738,4729,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1160,lfr_cambio,disidencia,disidencia,11226,11212,2,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)—
345_p1170,cambio_vp,,,11316,11316,0,
345_p1173,cambio_vp,,,11361,11361,0,
345_p1181,lfr_cambio,unanime,unanime,11734,11625,1,Carlos Fernando Rosenkrantz.
345_p12,lfr_cambio,unanime,unanime,539,538,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
345_p1210,lfr_cambio,mixed,mixed,13097,12976,4,Horacio Rosatti (en disidencia)— Carlos Fernando Rosenkrantz (según su voto)— Ju
345_p1233,cambio_vp,,,13822,13818,0,
345_p1244,lfr_cambio,segun_su_voto,segun_su_voto,14232,14213,4,Horacio Rosatti - Carlos Fernando Rosenkrantz (según su voto)– Juan Carlos Maque
345_p1289,cambio_vp,,,15812,15812,0,
345_p1290,cambio_vp,,,15840,15840,0,
345_p1296,cambio_vp,,,16048,16048,0,
345_p1297,lfr_cambio,segun_su_voto,segun_su_voto,16294,16273,4,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos Maqueda (según su vo
345_p13,lfr_cambio,disidencia,disidencia,720,745,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
345_p1309,cambio_vp,,,16616,16616,0,
345_p1312,REGRESION,unanime,sin_firma,17033,17013,0,
345_p1322,lfr_cambio,unanime,unanime,17128,17026,4,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos Maqueda – Ricardo Lu
345_p1325,lfr_cambio,unanime,unanime,17411,17438,4,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos Maqueda – Ricardo Lu
345_p1341,cambio_vp,,,17723,17723,0,
345_p1342,lfr_cambio,unanime,unanime,18008,17999,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
