caso_id_canonico,materia,materia_capa,materia_fuente
346_p1039,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
346_p1062,,no_aplica,tipo_entrada=sumario_con_link
346_p1063,,no_aplica,tipo_entrada=sumario_con_link
346_p1065,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p1068,contencioso_administrativo,capa2,provincia:ca
346_p1070,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p1075,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p1081,,no_aplica,tipo_entrada=sumario_editorial
346_p1082,,no_aplica,tipo_entrada=sumario_con_link
346_p1086,,pendiente_capa2,sin_ancla
346_p1087,,no_aplica,tipo_entrada=sumario_editorial
346_p1089,,originaria,originaria
346_p1108,,originaria,originaria
346_p1117,,originaria,originaria
346_p1133,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
346_p1139,,pendiente_capa2,sin_ancla
346_p1147,laboral,capa1,regla:\bdel trabajo\b
346_p1159,contencioso_administrativo,capa2,objeto(1)
346_p1175,contencioso_administrativo,capa1,regla:contencioso administrativo
346_p1180,,originaria,originaria
346_p1194,,no_aplica,tipo_entrada=sumario_con_link
346_p1195,,no_aplica,tipo_entrada=sumario_con_link
346_p1196,laboral,capa2,kw(1)
