caso_id_canonico,tipo,norma,ambito,n_menciones
329_p2251,ley,24655,considerando,1
329_p2253,ley,18345,considerando,1
329_p2261,ley,18037,considerando,1
329_p2261,ley,23604,considerando,4
329_p2261,ley,24241,considerando,2
329_p2261,ley,24463,considerando,1
329_p2261,ley,23604,dispositivo,1
329_p2274,ley,24043,caratula,1
329_p2293,ley,25126,considerando,1
329_p2312,ley,25973,considerando,2
329_p2316,ley,1285,considerando,1
329_p2316,ley,1893,considerando,2
329_p2316,ley,24463,considerando,1
329_p2316,ley,25675,considerando,4
329_p2316,ley,25675,voto,1
329_p2347,ley,22929,considerando,3
329_p2347,ley,22955,considerando,3
329_p2347,ley,23682,considerando,2
329_p2347,ley,24463,considerando,1
329_p2347,ley,22929,voto,5
329_p2347,ley,23682,voto,1
329_p2347,ley,24241,voto,1
329_p2351,ley,24652,considerando,2
329_p2355,ley,1285,considerando,1
329_p2358,ley,24051,considerando,1
329_p2361,ley,22969,considerando,9
329_p2361,ley,23697,considerando,3
329_p2361,ley,23853,considerando,1
329_p2361,ley,23928,considerando,1
329_p2419,ley,15464,considerando,1
329_p2419,ley,18345,considerando,1
329_p2419,ley,19108,considerando,1
329_p2419,ley,22866,considerando,1
329_p2419,ley,22969,considerando,1
329_p2419,ley,23853,considerando,1
329_p2419,ley,4055,considerando,1
329_p2440,ley,23070,considerando,1
329_p2469,ley,24051,considerando,1
329_p2469,ley,25612,considerando,1
329_p2469,ley,25675,considerando,3
329_p2469,ley,5655,considerando,1
329_p2479,ley,25973,considerando,1
329_p2479,ley,5238,considerando,2
329_p2485,ley,23548,considerando,1
329_p2492,ley,1285,considerando,1
329_p2496,ley,24051,considerando,1
329_p2498,ley,1645,considerando,3
329_p2498,ley,18037,considerando,1
329_p2498,ley,24241,considerando,2
329_p2498,ley,24463,considerando,2
329_p2498,ley,24463,voto,1
329_p2503,ley,24241,caratula,1
329_p2503,ley,24241,considerando,3
329_p2503,ley,24241,voto,4
329_p2503,ley,24463,voto,1
329_p2508,ley,25164,considerando,1
329_p2511,ley,11683,considerando,3
329_p2511,ley,1285,considerando,1
329_p2511,ley,17597,considerando,1
329_p2511,ley,23549,considerando,1
329_p2511,ley,11683,voto,1
329_p2511,ley,23549,voto,1
329_p2523,ley,24767,considerando,2
329_p2523,ley,23338,voto,1
329_p2523,ley,23652,voto,1
329_p2523,ley,24767,voto,1
329_p2539,ley,22802,caratula,1
329_p2567,ley,25561,considerando,1
329_p2631,ley,24769,considerando,1
329_p2659,ley,20628,considerando,1
329_p2659,ley,24073,considerando,2
329_p2659,ley,24463,considerando,1
329_p2659,ley,20628,voto,1
329_p2659,ley,24073,voto,2
329_p2680,ley,3839,considerando,1
329_p2680,ley,6754,considerando,1
329_p2680,ley,6975,considerando,2
329_p2680,ley,25973,dispositivo,1
329_p2680,ley,6754,dispositivo,1
329_p2680,ley,7045,dispositivo,1
329_p2719,ley,19550,considerando,1
329_p2726,ley,24624,considerando,1
329_p2726,ley,25973,considerando,2
329_p2733,ley,7216,considerando,1
329_p2735,ley,25344,considerando,1
329_p2737,ley,1285,considerando,1
329_p2745,ley,10397,considerando,1
329_p2757,ley,23660,considerando,2
329_p2759,ley,25724,considerando,1
329_p2764,ley,12183,considerando,1
329_p2764,ley,1285,considerando,1
329_p2764,ley,12183,voto,1
329_p2779,ley,5121,considerando,1
329_p2790,ley,24076,considerando,1
329_p2796,ley,24195,considerando,1
329_p2805,ley,24441,considerando,1
329_p2805,ley,5965,considerando,1
329_p2808,ley,1285,considerando,2
329_p2810,ley,1285,considerando,1
329_p2815,ley,1285,considerando,1
329_p2817,ley,22421,considerando,1
329_p2819,ley,23502,considerando,1
329_p2825,ley,24463,considerando,1
329_p2827,ley,24241,caratula,1
