caso_id_canonico,disposicion,reenvia,parte_ganadora,via_recurso,multi_recurso,es_revision_fondo,admisibilidad,causa_inadmisibilidad,es_queja
347_p507,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p512,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p520,no_revision_procesal,no,no_aplica,,no,no,sin_marcador,,0
347_p540,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p545,no_fondo,no,no_aplica,recurso_extraordinario,no,no,inadmite,INADMISIBLE_SIN_CAUSAL_EXPLICITA,1
347_p547,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p552,no_revision_demanda,no,no_aplica,,no,no,no_aplica,,0
347_p562,no_fondo,no,no_aplica,recurso_extraordinario,si,no,admite,,0
347_p565,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p572,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p579,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p593,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p594,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,0
347_p596,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p606,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p614,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,no,admite,,1
347_p621,no_fondo,no,no_aplica,,no,no,no_aplica,,0
347_p629,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p631,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p632,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p640,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p652,no_fondo,no,no_aplica,,no,no,sin_marcador,,0
347_p653,revoca,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p673,revoca,si,recurrente_gana,recurso_extraordinario,si,si,admite,,0
347_p684,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p688,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p721,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p729,no_fondo,no,no_aplica,recurso_extraordinario,si,no,sin_marcador,,1
347_p737,confirma,no,recurrente_pierde,recurso_extraordinario,no,si,admite,,1
347_p745,revoca,si,recurrente_gana,recurso_extraordinario,no,si,admite,,1
347_p751,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,si,admite,,1
