nombre_canonico,tipo,patron,periodo_desde,periodo_hasta,fuente,nota,testigos
Lozano,conjuez,mariano\s+roberto\s+lozano,,,H192 (B154) — adjudicado sobre firma_raw,el conjuez de H189/Mercante; visible post-ripple v28.0,348_p1553;349_p43
Boldú,conjuez,(?:mario\s+osvaldo\s+bold[úu]|bold[úu]\s+mario\s+osvaldo),,,H192 (B154) — adjudicado sobre firma_raw,orden invertido en 348_p563; con tilde en 348_p841/955,348_p563;348_p1553;348_p841;348_p955
Sánchez,conjuez,abel\s+guillermo\s+s[áa]nchez,,,H192 (B154) — adjudicado sobre firma_raw,,349_p43;349_p53;349_p81
Barreiro,conjuez,ricardo\s+guido\s+barreiro,,,H192 (B154) — adjudicado sobre firma_raw,"distinto de Barreiro Deymonnaz, letrado en bleed 330_p2527",338_p1433
Sotelo de Andreau,conjuez,mirta\s+gladis\s+sotelo(?:\s+de\s+andreau)?,,,H192 (B154) — adjudicado sobre firma_raw,"sufijo opcional, patrón tipo Tyden",344_p1557
Bejas,conjuez,ra[úu]l\s+daniel\s+bejas,,,H192 (B154) — adjudicado sobre firma_raw,,349_p53
Candisano Mera,conjuez,(?:pablo\s+alejandro\s+candisano\s+mera|candisano\s+mera\s+pablo\s+alejandro),,,H192 (B154) — adjudicado sobre firma_raw,orden invertido en 348_p716/755,348_p1262;349_p81;349_p95;348_p716;348_p755
Llorens,conjuez,(?:mariano\s+llorens|llorens\s+mariano),,,H192 (B154) — adjudicado sobre firma_raw,orden invertido en 348_p569,348_p569;348_p635;348_p841;348_p955;348_p1262
Moltini,conjuez,(?:patricia\s+marcela\s+moltini|moltini\s+patricia\s+marcela),,,H192 (B154) — adjudicado sobre firma_raw,orden invertido en 348_p569,348_p569;348_p841;348_p955
González R.L.,conjuez,ram[óo]n\s+luis\s+gonz[áa]lez,,,H192 (B154) — adjudicado sobre firma_raw,nombre completo para no colisionar con Pereyra González,349_p95
Rivera J.C.,conjuez,(?:julio\s+c[ée]sar\s+rivera|rivera\s+julio\s+c[ée]sar),,,H202 (B154-bis) — adjudicado sobre .md 342_p1847/344_p2752 + PDF oficial (H201),saga art. 110; orden invertido en 344_p2752; frecuente como LETRADO en epílogos (guard B148 debe rechazar),342_p1847;344_p2752
Botana,conjuez,(?:diego\s+botana|botana\s+diego),,,H202 (B154-bis) — adjudicado sobre .md 342_p1847/344_p2752,saga art. 110; orden invertido en 344_p2752,342_p1847;344_p2752
Torres V.N.,conjuez,(?:ver[óo]nica\s+nidia\s+torres|torres\s+ver[óo]nica\s+nidia),,,H202 (B154-bis) — adjudicado sobre .md 342_p1847/344_p2752,saga art. 110; orden invertido y sin acentos en 344_p2752,342_p1847;344_p2752
Caballero,conjuez,(?:mar[íi]a\s+rosa\s+caballero|caballero\s+mar[íi]a\s+rosa),,,H202 (B154-bis) — adjudicado sobre .md 342_p1847/344_p2752,saga art. 110; firma su voto «María Rosa Caballero.» en 1847; invertida en 2752,342_p1847;344_p2752
Antelo,conjuez,guillermo\s+alberto\s+antelo,,,H216 — adjudicado sobre extracto 345_p869 (visor),firma «— Guillermo Alberto Antelo.» panel real 5,332_p1124;345_p869
