voto_id,caso_id_canonico,tomo,date,juez,source_file,linea_inicio,linea_fin_real,primera_del_caso,doble_cod,cod_juez_ok,cod_posicion,cod_tipo_voto_sep,cod_fragmenta_ratio,cod_punto_divergencia,cod_completitud_caso,notas
329_p149::0,329_p149,329,14 de febrero de 2006,Petracchi,LibroVol329.1.md,5478,5840,1,0,,,,,,,
329_p149::1,329_p149,329,14 de febrero de 2006,Highton de Nolasco,LibroVol329.1.md,5478,5840,0,0,,,,,,,
329_p149::2,329_p149,329,14 de febrero de 2006,Fayt,LibroVol329.1.md,5478,5840,0,0,,,,,,,
329_p149::3,329_p149,329,14 de febrero de 2006,Maqueda,LibroVol329.1.md,5478,5840,0,0,,,,,,,
329_p149::4,329_p149,329,14 de febrero de 2006,Zaffaroni,LibroVol329.1.md,5478,5840,0,0,,,,,,,
329_p149::5,329_p149,329,14 de febrero de 2006,Lorenzetti,LibroVol329.1.md,5478,5840,0,0,,,,,,,
329_p149::6,329_p149,329,14 de febrero de 2006,Argibay,LibroVol329.1.md,5478,5840,0,0,,,,,,,
329_p1541::0,329_p1541,329,9 de mayo de 2006,Petracchi,LibroVol329.2.md,6398,6893,1,0,,,,,,,
329_p1541::1,329_p1541,329,9 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,6398,6893,0,0,,,,,,,
329_p1541::2,329_p1541,329,9 de mayo de 2006,Fayt,LibroVol329.2.md,6398,6893,0,0,,,,,,,
329_p1541::3,329_p1541,329,9 de mayo de 2006,Maqueda,LibroVol329.2.md,6398,6893,0,0,,,,,,,
329_p1541::4,329_p1541,329,9 de mayo de 2006,Zaffaroni,LibroVol329.2.md,6398,6893,0,0,,,,,,,
329_p1541::5,329_p1541,329,9 de mayo de 2006,Lorenzetti,LibroVol329.2.md,6398,6893,0,0,,,,,,,
329_p1541::6,329_p1541,329,9 de mayo de 2006,Argibay,LibroVol329.2.md,6398,6893,0,0,,,,,,,
329_p1626::0,329_p1626,329,16 de mayo de 2006,Petracchi,LibroVol329.2.md,9667,9751,1,0,,,,,,,
329_p1626::1,329_p1626,329,16 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,9667,9751,0,0,,,,,,,
329_p1626::2,329_p1626,329,16 de mayo de 2006,Fayt,LibroVol329.2.md,9667,9751,0,0,,,,,,,
329_p1626::3,329_p1626,329,16 de mayo de 2006,Maqueda,LibroVol329.2.md,9667,9751,0,0,,,,,,,
329_p1626::4,329_p1626,329,16 de mayo de 2006,Lorenzetti,LibroVol329.2.md,9667,9751,0,0,,,,,,,
329_p1626::5,329_p1626,329,16 de mayo de 2006,Argibay,LibroVol329.2.md,9667,9751,0,0,,,,,,,
329_p167::0,329_p167,329,14 de febrero de 2006,Petracchi,LibroVol329.1.md,6161,6281,1,0,,,,,,,
329_p167::1,329_p167,329,14 de febrero de 2006,Highton de Nolasco,LibroVol329.1.md,6161,6281,0,0,,,,,,,
329_p167::2,329_p167,329,14 de febrero de 2006,Fayt,LibroVol329.1.md,6161,6281,0,0,,,,,,,
329_p167::3,329_p167,329,14 de febrero de 2006,Maqueda,LibroVol329.1.md,6161,6281,0,0,,,,,,,
329_p167::4,329_p167,329,14 de febrero de 2006,Lorenzetti,LibroVol329.1.md,6161,6281,0,0,,,,,,,
329_p1693::0,329_p1693,329,16 de mayo de 2006,Petracchi,LibroVol329.2.md,12191,12287,1,0,,,,,,,
329_p1693::1,329_p1693,329,16 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,12191,12287,0,0,,,,,,,
329_p1693::2,329_p1693,329,16 de mayo de 2006,Maqueda,LibroVol329.2.md,12191,12287,0,0,,,,,,,
329_p1693::3,329_p1693,329,16 de mayo de 2006,Zaffaroni,LibroVol329.2.md,12191,12287,0,0,,,,,,,
329_p1693::4,329_p1693,329,16 de mayo de 2006,Lorenzetti,LibroVol329.2.md,12191,12287,0,0,,,,,,,
329_p171::0,329_p171,329,14 de febrero de 2006,Petracchi,LibroVol329.1.md,6282,6430,1,0,,,,,,,
329_p171::1,329_p171,329,14 de febrero de 2006,Highton de Nolasco,LibroVol329.1.md,6282,6430,0,0,,,,,,,
329_p171::2,329_p171,329,14 de febrero de 2006,Fayt,LibroVol329.1.md,6282,6430,0,0,,,,,,,
329_p171::3,329_p171,329,14 de febrero de 2006,Maqueda,LibroVol329.1.md,6282,6430,0,0,,,,,,,
329_p171::4,329_p171,329,14 de febrero de 2006,Zaffaroni,LibroVol329.1.md,6282,6430,0,0,,,,,,,
329_p171::5,329_p171,329,14 de febrero de 2006,Lorenzetti,LibroVol329.1.md,6282,6430,0,0,,,,,,,
329_p171::6,329_p171,329,14 de febrero de 2006,Argibay,LibroVol329.1.md,6282,6430,0,0,,,,,,,
329_p1723::0,329_p1723,329,23 de mayo de 2006,Petracchi,LibroVol329.2.md,13333,14687,1,0,,,,,,,
329_p1723::1,329_p1723,329,23 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,13333,14687,0,0,,,,,,,
329_p1723::2,329_p1723,329,23 de mayo de 2006,Fayt,LibroVol329.2.md,13333,14687,0,0,,,,,,,
329_p1723::3,329_p1723,329,23 de mayo de 2006,Maqueda,LibroVol329.2.md,13333,14687,0,0,,,,,,,
329_p1723::4,329_p1723,329,23 de mayo de 2006,Zaffaroni,LibroVol329.2.md,13333,14687,0,0,,,,,,,
329_p1723::5,329_p1723,329,23 de mayo de 2006,Lorenzetti,LibroVol329.2.md,13333,14687,0,0,,,,,,,
